date,open,high,low,close,close_ma5,close_ma20,close_ma60,close_ma120
2018.12.4,"1,263.24","1,263.66","1,208.54","1,209.35","1,234.91","1,214.14","1,266.59","1,314.13"
2018.12.6,"1,178.01","1,202.88","1,170.53","1,202.83","1,229.19","1,212.15","1,263.94","1,312.42"
2018.12.7,"1,200.05","1,202.96","1,152.34","1,157.86","1,216.48","1,207.17","1,260.80","1,310.48"
2018.12.10,"1,157.59","1,178.73","1,152.18","1,174.19","1,203.39","1,203.27","1,257.67","1,308.61"
2018.12.11,"1,200.27","1,208.99","1,174.58","1,181.48","1,185.14","1,200.89","1,254.40","1,306.94"
2018.12.12,"1,203.64","1,216.01","1,190.40","1,198.90","1,183.05","1,202.11","1,251.76","1,305.51"
2018.12.13,"1,208.00","1,211.93","1,190.13","1,194.59","1,181.40","1,202.32","1,248.86","1,304.40"
2018.12.14,"1,179.87","1,201.75","1,177.27","1,177.57","1,185.35","1,201.47","1,245.62","1,303.10"
2018.12.17,"1,175.55","1,193.96","1,155.78","1,162.46","1,183.00","1,197.86","1,241.87","1,301.95"
2018.12.18,"1,173.61","1,195.59","1,171.68","1,177.36","1,182.18","1,195.72","1,238.44","1,300.83"
2018.12.19,"1,167.59","1,183.32","1,122.18","1,127.44","1,167.88","1,193.44","1,234.09","1,299.28"
2018.12.20,"1,131.54","1,144.83","1,104.37","1,117.74","1,152.51","1,190.59","1,229.97","1,297.58"
2018.12.21,"1,135.51","1,138.56","1,097.21","1,101.29","1,137.26","1,186.67","1,225.80","1,295.94"
2018.12.24,"1,091.62","1,103.19","1,068.92","1,069.39","1,118.64","1,181.17","1,220.99","1,293.74"
2018.12.26,"1,082.15","1,131.30","1,066.39","1,131.10","1,109.39","1,177.64","1,217.06","1,291.93"
2018.12.27,"1,112.08","1,140.00","1,101.08","1,139.49","1,111.80","1,174.41","1,213.21","1,290.11"
2018.12.28,"1,144.78","1,168.31","1,137.84","1,147.37","1,117.73","1,170.21","1,209.49","1,288.23"
2018.12.31,"1,160.17","1,164.37","1,143.60","1,155.17","1,128.50","1,166.90","1,205.87","1,286.72"
2019.1.2,"1,131.47","1,173.52","1,131.44","1,165.30","1,147.69","1,163.18","1,202.83","1,285.29"
2019.1.3,"1,136.96","1,142.92","1,094.59","1,096.03","1,140.67","1,154.35","1,199.17","1,283.21"
2019.1.4,"1,114.48","1,148.45","1,111.79","1,143.96","1,141.57","1,151.08","1,196.55","1,281.56"
2019.1.7,"1,147.22","1,176.75","1,143.24","1,166.24","1,145.34","1,149.25","1,194.32","1,280.12"
2019.1.8,"1,177.76","1,177.82","1,145.38","1,160.55","1,146.42","1,149.38","1,192.96","1,278.47"
2019.1.9,"1,175.03","1,195.63","1,174.67","1,189.84","1,151.32","1,150.16","1,192.30","1,276.97"
2019.1.10,"1,181.26","1,202.96","1,178.73","1,201.40","1,172.40","1,151.16","1,191.43","1,275.60"
2019.1.11,"1,194.65","1,224.02","1,192.05","1,213.04","1,186.21","1,151.87","1,190.95","1,274.38"
2019.1.14,"1,196.04","1,202.17","1,187.98","1,194.28","1,191.82","1,151.85","1,189.48","1,272.99"
2019.1.15,"1,202.22","1,210.84","1,191.97","1,197.03","1,199.12","1,152.82","1,188.14","1,271.75"
2019.1.16,"1,197.61","1,206.76","1,186.37","1,187.19","1,198.59","1,154.06","1,187.17","1,270.36"
2019.1.17,"1,177.69","1,206.83","1,172.31","1,200.76","1,198.46","1,155.23","1,186.75","1,268.88"
2019.1.18,"1,210.70","1,236.13","1,206.57","1,228.33","1,201.52","1,160.27","1,186.65","1,267.68"
2019.1.22,"1,217.07","1,217.69","1,185.05","1,193.36","1,201.33","1,164.06","1,186.08","1,266.31"
2019.1.23,"1,200.32","1,205.35","1,174.96","1,185.95","1,199.12","1,168.29","1,186.74","1,264.79"
2019.1.24,"1,218.46","1,258.72","1,218.02","1,253.91","1,212.46","1,177.51","1,188.09","1,263.87"
2019.1.25,"1,260.52","1,285.38","1,250.37","1,281.16","1,228.54","1,185.02","1,190.22","1,263.05"
2019.1.28,"1,234.44","1,264.83","1,230.69","1,254.40","1,233.76","1,190.76","1,192.13","1,261.99"
2019.1.29,"1,255.95","1,258.82","1,234.91","1,236.25","1,242.33","1,195.21","1,192.94","1,260.72"
2019.1.30,"1,254.95","1,276.46","1,244.20","1,271.76","1,259.50","1,201.04","1,194.09","1,259.65"
2019.1.31,"1,266.73","1,282.69","1,260.34","1,272.09","1,263.13","1,206.38","1,194.33","1,258.55"
2019.2.1,"1,275.88","1,292.71","1,274.69","1,287.40","1,264.38","1,215.94","1,195.13","1,257.70"
2019.2.4,"1,285.35","1,293.91","1,276.82","1,293.88","1,272.28","1,223.44","1,196.22","1,257.20"
2019.2.5,"1,291.70","1,305.00","1,291.14","1,300.13","1,285.05","1,230.14","1,197.18","1,256.73"
2019.2.6,"1,321.29","1,343.71","1,321.29","1,333.76","1,297.45","1,238.80","1,198.45","1,256.56"
2019.2.7,"1,314.49","1,322.54","1,293.10","1,303.92","1,303.82","1,244.50","1,199.31","1,256.30"
2019.2.8,"1,284.35","1,304.53","1,279.67","1,302.42","1,306.82","1,249.55","1,200.53","1,256.04"
2019.2.11,"1,307.29","1,311.66","1,297.52","1,308.88","1,309.82","1,254.34","1,202.77","1,255.92"
2019.2.12,"1,324.91","1,339.25","1,322.90","1,336.72","1,317.14","1,261.46","1,205.21","1,256.04"
2019.2.13,"1,342.30","1,350.68","1,336.34","1,340.71","1,318.53","1,268.65","1,207.65","1,255.98"
2019.2.14,"1,336.01","1,353.49","1,334.45","1,344.11","1,326.57","1,276.49","1,209.47","1,255.89"
2019.2.15,"1,355.42","1,358.07","1,343.03","1,351.18","1,336.32","1,284.02","1,211.66","1,255.85"
2019.2.19,"1,345.99","1,357.75","1,345.78","1,348.49","1,344.24","1,290.02","1,214.58","1,255.62"
2019.2.20,"1,353.50","1,368.34","1,353.30","1,360.28","1,348.95","1,298.37","1,217.67","1,255.31"
2019.2.21,"1,359.47","1,363.29","1,346.24","1,350.25","1,350.86","1,306.58","1,220.51","1,254.87"
2019.2.22,"1,361.10","1,366.12","1,355.36","1,364.78","1,355.00","1,312.13","1,223.61","1,254.53"
2019.2.25,"1,384.71","1,391.44","1,374.68","1,375.95","1,359.95","1,316.87","1,226.51","1,254.38"
2019.2.26,"1,371.88","1,377.19","1,362.89","1,366.58","1,363.57","1,322.48","1,229.22","1,254.10"
2019.2.27,"1,358.90","1,359.15","1,336.09","1,349.87","1,361.49","1,328.16","1,231.19","1,253.59"
2019.2.28,"1,342.43","1,354.26","1,339.93","1,350.20","1,361.48","1,332.08","1,233.34","1,253.14"
2019.3.1,"1,365.62","1,368.84","1,348.73","1,363.13","1,361.15","1,336.63","1,235.40","1,253.11"
2019.3.4,"1,372.71","1,376.23","1,346.45","1,363.25","1,358.61","1,340.42","1,236.91","1,253.13"
2019.3.5,"1,361.19","1,365.34","1,351.77","1,356.90","1,356.67","1,343.58","1,239.36","1,252.98"
2019.3.6,"1,354.81","1,355.19","1,333.33","1,333.82","1,353.46","1,345.26","1,241.55","1,252.74"
2019.3.7,"1,326.92","1,328.60","1,311.40","1,319.09","1,347.24","1,344.53","1,244.23","1,252.52"
2019.3.8,"1,297.24","1,319.33","1,292.76","1,318.21","1,338.25","1,345.24","1,246.63","1,252.15"
2019.3.11,"1,325.95","1,355.81","1,324.48","1,349.88","1,335.58","1,347.61","1,249.44","1,251.92"
2019.3.12,"1,354.23","1,362.13","1,342.63","1,355.12","1,335.22","1,349.93","1,252.05","1,251.90"
2019.3.13,"1,362.75","1,371.33","1,358.83","1,360.77","1,340.61","1,351.13","1,254.81","1,251.84"
2019.3.14,"1,362.22","1,367.08","1,352.57","1,353.06","1,347.41","1,351.75","1,257.74","1,251.68"
2019.3.15,"1,373.76","1,402.45","1,371.22","1,392.36","1,362.24","1,354.16","1,261.57","1,251.72"
2019.3.18,"1,392.66","1,401.72","1,380.88","1,388.77","1,370.02","1,356.04","1,265.09","1,251.77"
2019.3.19,"1,398.55","1,411.68","1,398.55","1,407.35","1,380.46","1,358.98","1,269.76","1,251.92"
2019.3.20,"1,410.12","1,413.82","1,384.87","1,393.01","1,386.91","1,360.62","1,274.35","1,252.16"
2019.3.21,"1,399.52","1,450.76","1,399.52","1,441.83","1,404.66","1,365.20","1,280.02","1,252.91"
2019.3.22,"1,433.21","1,437.63","1,399.73","1,400.37","1,406.27","1,366.98","1,285.54","1,253.26"
2019.3.25,"1,388.39","1,403.03","1,371.91","1,382.75","1,405.06","1,367.32","1,289.73","1,253.40"
2019.3.26,"1,399.85","1,408.74","1,386.32","1,396.75","1,402.94","1,368.82","1,294.02","1,253.62"
2019.3.27,"1,398.52","1,402.08","1,366.69","1,376.48","1,399.64","1,370.15","1,297.84","1,253.66"
2019.3.28,"1,380.17","1,391.14","1,365.16","1,373.80","1,386.03","1,371.33","1,301.48","1,253.67"
2019.3.29,"1,392.08","1,398.05","1,386.89","1,395.51","1,385.06","1,372.95","1,305.32","1,254.08"
2019.4.1,"1,417.66","1,431.55","1,410.52","1,430.24","1,394.56","1,376.30","1,310.89","1,255.03"
2019.4.2,"1,431.55","1,434.85","1,423.22","1,431.63","1,401.53","1,380.04","1,315.69","1,256.12"
2019.4.3,"1,451.65","1,476.61","1,450.60","1,464.19","1,419.07","1,386.56","1,320.65","1,257.49"
2019.4.4,"1,460.02","1,475.27","1,458.90","1,465.89","1,437.49","1,393.90","1,325.74","1,259.35"
2019.4.5,"1,475.14","1,478.10","1,467.02","1,477.65","1,453.92","1,401.87","1,330.54","1,261.42"
2019.4.8,"1,472.33","1,482.48","1,468.12","1,481.38","1,464.15","1,408.45","1,335.20","1,263.32"
2019.4.9,"1,472.24","1,472.24","1,458.26","1,464.52","1,470.73","1,413.92","1,339.39","1,265.17"
